# SynAptIp Technologies — Nyquist Transform Export
# Source: capacitor_example.csv
# Label: capacitor_example
# Valid points: 100

freq_hz,z_ohm,theta_deg,z_real,z_imag,minus_z_imag
100,1.86045e+06,-92.3301,-75639.8,-1.85891e+06,1.85891e+06
1100,147793,-90.2088,-538.593,-147792,147792
2100,77793.1,-89.7151,386.82,-77792.1,77792.1
3100,52725.4,-89.7607,220.211,-52724.9,52724.9
4100,39898.2,-89.7711,159.395,-39897.9,39897.9
5100,32075.3,-89.7547,137.323,-32075,32075
6100,26828.6,-89.7638,110.6,-26828.4,26828.4
7100,23071.5,-89.7363,106.185,-23071.3,23071.3
8100,20225,-89.7508,87.9655,-20224.8,20224.8
9100,18000.7,-89.7611,75.0553,-18000.5,18000.5
10100,16223.8,-89.7551,69.3454,-16223.7,16223.7
11100,14764,-89.7209,71.9183,-14763.8,14763.8
12100,13550,-89.6706,77.9001,-13549.8,13549.8
13100,12521.2,-89.7169,61.8673,-12521,12521
14100,11630,-89.7288,55.0485,-11629.9,11629.9
15100,10866.7,-89.7191,53.2752,-10866.6,10866.6
16100,10193.3,-89.7292,48.1769,-10193.2,10193.2
17100,9597.98,-89.7312,45.0282,-9597.87,9597.87
18100,9067.25,-89.7313,42.5225,-9067.15,9067.15
19100,8592.99,-89.7128,43.0729,-8592.88,8592.88
20100,8166.81,-89.7208,39.7964,-8166.71,8166.71
21100,7780.77,-89.7091,39.5041,-7780.67,7780.67
22100,7430.54,-89.7127,37.259,-7430.45,7430.45
23100,7109.33,-89.7072,36.3308,-7109.24,7109.24
24100,6816.74,-89.7254,32.6703,-6816.66,6816.66
25100,6545.94,-89.6896,35.4625,-6545.84,6545.84
26100,6293.85,-89.7111,31.7351,-6293.77,6293.77
27100,6061.22,-89.702,31.5248,-6061.14,6061.14
28100,5847.09,-89.7045,30.1559,-5847.01,5847.01
29100,5647.15,-89.6931,30.2483,-5647.07,5647.07
30100,5458.98,-89.6892,29.612,-5458.9,5458.9
31100,5283.8,-89.7013,27.5459,-5283.73,5283.73
32100,5119.79,-89.692,27.5219,-5119.72,5119.72
33100,4966.03,-89.6902,26.8513,-4965.96,4965.96
34100,4820.9,-89.6899,26.0919,-4820.83,4820.83
35100,4683.89,-89.682,25.9961,-4683.82,4683.82
36100,4554.7,-89.6577,27.2108,-4554.62,4554.62
37100,4431.75,-89.6974,23.4056,-4431.69,4431.69
38100,4313.03,-89.6974,22.7786,-4312.97,4312.97
39100,4204.85,-89.6875,22.9338,-4204.79,4204.79
40100,4100.95,-89.6712,23.5338,-4100.88,4100.88
41100,4001.33,-89.6843,22.0472,-4001.27,4001.27
42100,3906.6,-89.669,22.5685,-3906.53,3906.53
43100,3815.53,-89.6735,21.7427,-3815.47,3815.47
44100,3730.03,-89.6783,20.943,-3729.97,3729.97
45100,3647.57,-89.6778,20.5118,-3647.51,3647.51
46100,3568.53,-89.6731,20.3601,-3568.47,3568.47
47100,3492.66,-89.6692,20.1649,-3492.6,3492.6
48100,3419.72,-89.6739,19.4633,-3419.66,3419.66
49100,3352.46,-89.6891,18.1911,-3352.41,3352.41
50100,3284.54,-89.7093,16.6646,-3284.5,3284.5
51100,3219.96,-89.6685,18.6298,-3219.91,3219.91
52100,3158.47,-89.6622,18.6214,-3158.42,3158.42
53100,3099.64,-89.651,18.8804,-3099.58,3099.58
54100,3041.98,-89.6646,17.8071,-3041.93,3041.93
55100,2987.38,-89.6586,17.8004,-2987.33,2987.33
56100,2933.82,-89.6156,19.683,-2933.75,2933.75
57100,2884.76,-89.6637,16.9321,-2884.71,2884.71
58100,2832.94,-89.6488,17.3647,-2832.89,2832.89
59100,2785.03,-89.644,17.3043,-2784.98,2784.98
60100,2739.24,-89.6496,16.7521,-2739.19,2739.19
61100,2692.75,-89.6254,17.6051,-2692.69,2692.69
62100,2651.29,-89.6337,16.95,-2651.24,2651.24
63100,2608.18,-89.6083,17.8306,-2608.12,2608.12
64100,2569.11,-89.6398,16.1511,-2569.06,2569.06
65100,2529.58,-89.6388,15.9467,-2529.53,2529.53
66100,2491.18,-89.634,15.9133,-2491.13,2491.13
67100,2454.08,-89.6248,16.0704,-2454.03,2454.03
68100,2418.3,-89.628,15.701,-2418.25,2418.25
69100,2383.18,-89.6219,15.7267,-2383.13,2383.13
70100,2349.66,-89.6268,15.3046,-2349.61,2349.61
71100,2316.52,-89.6248,15.1696,-2316.47,2316.47
72100,2284.19,-89.628,14.8303,-2284.14,2284.14
73100,2253.41,-89.6189,14.9883,-2253.36,2253.36
74100,2223.65,-89.6151,14.9379,-2223.6,2223.6
75100,2193.64,-89.5915,15.6398,-2193.58,2193.58
76100,2165.18,-89.6112,14.6925,-2165.13,2165.13
77100,2136.79,-89.6184,14.2313,-2136.74,2136.74
78100,2109.82,-89.6157,14.1511,-2109.77,2109.77
79100,2082.85,-89.6116,14.1192,-2082.8,2082.8
80100,2057.12,-89.6085,14.0561,-2057.07,2057.07
81100,2031.88,-89.6049,14.0113,-2031.83,2031.83
82100,2007.39,-89.5997,14.0246,-2007.34,2007.34
83100,1983.37,-89.5993,13.8707,-1983.32,1983.32
84100,1959.89,-89.6096,13.3541,-1959.84,1959.84
85100,1936.75,-89.5983,13.5784,-1936.7,1936.7
86100,1914.33,-89.5979,13.4346,-1914.28,1914.28
87100,1892.6,-89.6048,13.0542,-1892.55,1892.55
88100,1871.32,-89.5957,13.2046,-1871.27,1871.27
89100,1850.22,-89.5937,13.1203,-1850.17,1850.17
90100,1829.67,-89.5944,12.9522,-1829.62,1829.62
91100,1810.11,-89.586,13.0791,-1810.06,1810.06
92100,1790.11,-89.5881,12.869,-1790.06,1790.06
93100,1771.07,-89.5836,12.8712,-1771.02,1771.02
94100,1752.23,-89.5801,12.8413,-1752.18,1752.18
95100,1733.89,-89.5823,12.6404,-1733.84,1733.84
96100,1715.78,-89.5783,12.6281,-1715.73,1715.73
97100,1698.3,-89.5721,12.6832,-1698.25,1698.25
98100,1681.13,-89.5777,12.3907,-1681.08,1681.08
99100,1664.2,-89.5729,12.4053,-1664.15,1664.15
