# SynAptIp Technologies — Nyquist Transform Export
# Source: rc_dcbias_example.csv
# Label: rc_dcbias_example
# Valid points: 300

freq_hz,z_ohm,theta_deg,z_real,z_imag,minus_z_imag
100,910.303,-0.626001,910.249,-9.94557,9.94557
1100,978.686,-0.381918,978.664,-6.5236,6.5236
2100,978.337,-0.710047,978.262,-12.1239,12.1239
3100,978.495,-1.06543,978.326,-18.1943,18.1943
4100,978.214,-1.40471,977.92,-23.9803,23.9803
5100,978.042,-1.74849,977.587,-29.8422,29.8422
6100,977.839,-2.09079,977.188,-35.6746,35.6746
7100,977.633,-2.42385,976.758,-41.3456,41.3456
8100,977.329,-2.76972,976.187,-47.2264,47.2264
9100,976.928,-3.1054,975.493,-52.923,52.923
10100,976.769,-3.44215,975.007,-58.6459,58.6459
11100,976.163,-3.78986,974.028,-64.5218,64.5218
12100,975.778,-4.13277,973.241,-70.3223,70.3223
13100,975.323,-4.46449,972.364,-75.9203,75.9203
14100,974.776,-4.80596,971.349,-81.6682,81.6682
15100,974.213,-5.13809,970.298,-87.247,87.247
16100,973.63,-5.47361,969.19,-92.8719,92.8719
17100,973.06,-5.80948,968.062,-98.494,98.494
18100,972.463,-6.1492,966.868,-104.168,104.168
19100,971.962,-6.48623,965.741,-109.797,109.797
20100,971.116,-6.82074,964.243,-115.333,115.333
21100,970.371,-7.15695,962.81,-120.896,120.896
22100,969.541,-7.49421,961.259,-126.453,126.453
23100,968.813,-7.81832,959.807,-131.79,131.79
24100,967.871,-8.15667,958.08,-137.322,137.322
25100,967.212,-8.4859,956.623,-142.728,142.728
26100,966.168,-8.82489,954.73,-148.225,148.225
27100,965.291,-9.15279,953.001,-153.547,153.547
28100,964.402,-9.4911,951.201,-159.024,159.024
29100,963.323,-9.81134,949.234,-164.155,164.155
30100,962.377,-10.1407,947.343,-169.442,169.442
31100,961.228,-10.4624,945.247,-174.55,174.55
32100,960.354,-10.8044,943.33,-180.025,180.025
33100,959.109,-11.1233,941.091,-185.032,185.032
34100,958.071,-11.4458,939.018,-190.12,190.12
35100,956.856,-11.7761,936.717,-195.283,195.283
36100,955.589,-12.0977,934.367,-200.272,200.272
37100,954.656,-12.4316,932.273,-205.513,205.513
38100,953.44,-12.7479,929.938,-210.388,210.388
39100,951.989,-13.0717,927.321,-215.312,215.312
40100,950.529,-13.399,924.656,-220.267,220.267
41100,949.431,-13.7094,922.382,-225.013,225.013
42100,948.005,-14.0347,919.706,-229.9,229.9
43100,946.598,-14.3499,917.064,-234.608,234.608
44100,945.255,-14.6724,914.43,-239.426,239.426
45100,943.809,-14.9838,911.719,-244.018,244.018
46100,942.44,-15.2997,909.039,-248.68,248.68
47100,940.986,-15.621,906.23,-253.382,253.382
48100,939.518,-15.9233,903.469,-257.757,257.757
49100,937.947,-16.2418,900.513,-262.336,262.336
50100,936.483,-16.5608,897.636,-266.928,266.928
51100,934.987,-16.8682,894.759,-271.306,271.306
52100,933.313,-17.174,891.699,-275.584,275.584
53100,931.593,-17.4814,888.567,-279.847,279.847
54100,929.945,-17.7811,885.522,-283.988,283.988
55100,928.379,-18.0938,882.47,-288.33,288.33
