# SynAptIp Technologies — Nyquist Transform Export
# Source: rc_example.csv
# Label: rc_example
# Valid points: 100

freq_hz,z_ohm,theta_deg,z_real,z_imag,minus_z_imag
100,978.459,-0.0298176,978.459,-0.509205,0.509205
1100,978.48,-0.382571,978.458,-6.53338,6.53338
2100,978.327,-0.720086,978.25,-12.2952,12.2952
3100,978.252,-1.06441,978.083,-18.1724,18.1724
4100,978.124,-1.40239,977.831,-23.9385,23.9385
5100,977.953,-1.74638,977.499,-29.8035,29.8035
6100,977.714,-2.08915,977.064,-35.642,35.642
7100,977.397,-2.4246,976.522,-41.3484,41.3484
8100,977.177,-2.773,976.033,-47.2749,47.2749
9100,976.811,-3.10787,975.374,-52.9588,52.9588
10100,976.488,-3.44879,974.72,-58.742,58.742
11100,976,-3.7872,973.869,-64.4658,64.4658
12100,975.624,-4.1227,973.099,-70.1402,70.1402
13100,975.161,-4.46789,972.198,-75.9654,75.9654
14100,974.666,-4.80332,971.243,-81.6142,81.6142
15100,974.178,-5.14393,970.255,-87.3428,87.3428
16100,973.615,-5.48246,969.161,-93.0202,93.0202
17100,973.044,-5.81309,968.04,-98.5534,98.5534
18100,972.321,-6.15699,966.712,-104.284,104.284
19100,971.732,-6.48885,965.507,-109.815,109.815
20100,970.984,-6.82509,964.103,-115.391,115.391
21100,970.144,-7.15683,962.585,-120.866,120.866
22100,969.468,-7.49715,961.18,-126.493,126.493
23100,968.62,-7.82388,959.603,-131.857,131.857
24100,967.789,-8.15927,957.992,-137.354,137.354
25100,967.043,-8.48571,956.456,-142.7,142.7
26100,966.091,-8.8184,954.671,-148.105,148.105
27100,965.228,-9.15848,952.923,-153.631,153.631
28100,964.233,-9.48138,951.061,-158.835,158.835
29100,963.25,-9.816,949.148,-164.219,164.219
30100,962.253,-10.1429,947.215,-169.456,169.456
31100,961.202,-10.4711,945.195,-174.688,174.688
32100,960.167,-10.801,943.157,-179.934,179.934
33100,959.047,-11.123,941.032,-185.015,185.015
34100,957.908,-11.4516,938.839,-190.183,190.183
35100,956.886,-11.7796,936.734,-195.346,195.346
36100,955.459,-12.0993,934.234,-200.271,200.271
37100,954.322,-12.441,931.913,-205.594,205.594
38100,953.257,-12.739,929.792,-210.203,210.203
39100,951.94,-13.0616,927.311,-215.137,215.137
40100,950.572,-13.3903,924.731,-220.137,220.137
41100,949.313,-13.7141,922.249,-225.06,225.06
42100,947.936,-14.0366,919.632,-229.914,229.914
43100,946.585,-14.3507,917.049,-234.617,234.617
44100,945.223,-14.6657,914.427,-239.31,239.31
45100,943.768,-14.9854,911.672,-244.033,244.033
46100,942.375,-15.2972,908.987,-248.623,248.623
47100,940.827,-15.6142,906.107,-253.232,253.232
48100,939.346,-15.9215,903.311,-257.681,257.681
49100,937.975,-16.2244,900.62,-262.07,262.07
50100,936.268,-16.5619,897.424,-266.884,266.884
51100,934.668,-16.8527,894.527,-270.972,270.972
52100,933.143,-17.1732,891.54,-275.521,275.521
53100,931.612,-17.4739,888.622,-279.736,279.736
54100,929.895,-17.7846,885.457,-284.027,284.027
55100,928.292,-18.0949,882.382,-288.32,288.32
56100,926.838,-18.3886,879.513,-292.381,292.381
57100,925.128,-18.6985,876.299,-296.585,296.585
58100,923.046,-19.0042,872.735,-300.578,300.578
59100,921.41,-19.3047,869.603,-304.611,304.611
60100,919.724,-19.5946,866.462,-308.441,308.441
61100,917.982,-19.8928,863.207,-312.354,312.354
62100,916.116,-20.2065,859.733,-316.431,316.431
63100,914.294,-20.5033,856.375,-320.242,320.242
64100,912.397,-20.7865,853.008,-323.798,323.798
65100,910.703,-21.085,849.729,-327.628,327.628
66100,908.751,-21.3771,846.23,-331.244,331.244
67100,906.972,-21.6686,842.881,-334.888,334.888
68100,905.068,-21.9581,839.412,-338.431,338.431
69100,903.083,-22.2435,835.879,-341.856,341.856
70100,901.286,-22.5407,832.434,-345.499,345.499
71100,899.229,-22.8214,828.836,-348.775,348.775
72100,897.359,-23.111,825.342,-352.226,352.226
73100,895.347,-23.395,821.74,-355.513,355.513
74100,893.411,-23.683,818.17,-358.862,358.862
75100,891.456,-23.9571,814.657,-361.978,361.978
76100,889.528,-24.2431,811.082,-365.248,365.248
77100,887.319,-24.5126,807.345,-368.143,368.143
78100,885.444,-24.7935,803.828,-371.31,371.31
79100,883.361,-25.0719,800.128,-374.329,374.329
80100,881.317,-25.3476,796.47,-377.3,377.3
81100,879.306,-25.612,792.907,-380.102,380.102
82100,877.23,-25.8895,789.189,-383.031,383.031
83100,875.079,-26.1635,785.418,-385.852,385.852
84100,873.065,-26.4328,781.792,-388.643,388.643
85100,870.868,-26.7001,778.008,-391.299,391.299
86100,868.845,-26.9643,774.392,-393.965,393.965
87100,866.741,-27.2418,770.604,-396.748,396.748
88100,864.479,-27.5005,766.799,-399.179,399.179
89100,862.471,-27.7602,763.205,-401.715,401.715
90100,860.305,-28.0198,759.465,-404.151,404.151
91100,858.155,-28.2816,755.717,-406.598,406.598
92100,856.037,-28.5399,752.015,-408.989,408.989
93100,853.862,-28.7947,748.283,-411.282,411.282
94100,851.657,-29.0626,744.424,-413.705,413.705
95100,849.476,-29.3103,740.727,-415.852,415.852
96100,847.33,-29.568,736.983,-418.12,418.12
97100,845.149,-29.8225,733.226,-420.305,420.305
98100,842.928,-30.0702,729.48,-422.358,422.358
99100,840.732,-30.3183,725.749,-424.404,424.404
