# SynAptIp Technologies — Nyquist Transform Export
# Source: resistance_example.csv
# Label: resistance_example
# Valid points: 100

freq_hz,z_ohm,theta_deg,z_real,z_imag,minus_z_imag
100,978.623,-0.00490534,978.623,-0.0837842,0.0837842
1100,978.631,-0.000818023,978.631,-0.0139721,0.0139721
2100,978.506,0.0129931,978.506,0.221898,-0.221898
3100,978.663,0.00553403,978.663,0.0945262,-0.0945262
4100,978.649,-0.00150061,978.649,-0.0256314,0.0256314
5100,978.749,0.00264799,978.749,0.045234,-0.045234
6100,978.736,0.000713685,978.736,0.0121913,-0.0121913
7100,978.583,0.00346063,978.583,0.0591058,-0.0591058
8100,978.585,-0.00278829,978.585,-0.0476227,0.0476227
9100,978.714,-0.00238676,978.714,-0.0407701,0.0407701
10100,978.67,-0.00452294,978.67,-0.0772564,0.0772564
11100,978.659,-0.00606629,978.659,-0.103617,0.103617
12100,978.69,-0.0076466,978.69,-0.130614,0.130614
13100,978.587,-0.00435422,978.587,-0.0743682,0.0743682
14100,978.601,-0.00598768,978.601,-0.102268,0.102268
15100,978.659,-0.00490082,978.659,-0.08371,0.08371
16100,978.628,-0.00831862,978.628,-0.142084,0.142084
17100,978.612,-0.00342599,978.612,-0.0585159,0.0585159
18100,978.658,-0.00478551,978.658,-0.0817404,0.0817404
19100,978.664,-0.00545104,978.664,-0.0931087,0.0931087
20100,978.622,-0.00696458,978.622,-0.118956,0.118956
21100,978.645,-0.00990797,978.645,-0.169234,0.169234
22100,978.613,-0.0060734,978.613,-0.103734,0.103734
23100,978.573,-0.0126146,978.573,-0.215449,0.215449
24100,978.653,-0.0117392,978.653,-0.200514,0.200514
25100,978.658,-0.0131595,978.658,-0.224775,0.224775
26100,978.624,-0.0127834,978.624,-0.218343,0.218343
27100,978.605,-0.00489092,978.605,-0.0835363,0.0835363
28100,978.65,-0.00518621,978.65,-0.0885839,0.0885839
29100,978.51,-0.00646884,978.51,-0.110476,0.110476
30100,978.597,-0.0117031,978.597,-0.199886,0.199886
31100,978.636,-0.00375068,978.636,-0.0640632,0.0640632
32100,978.643,-0.0110958,978.643,-0.189522,0.189522
33100,978.712,-0.00493687,978.712,-0.0843304,0.0843304
34100,978.498,-0.00608453,978.498,-0.103912,0.103912
35100,978.608,-0.00311631,978.608,-0.0532264,0.0532264
36100,978.588,-0.0102644,978.588,-0.175312,0.175312
37100,978.552,-0.0219246,978.552,-0.374449,0.374449
38100,978.483,-0.021187,978.483,-0.361826,0.361826
39100,978.614,-0.00504703,978.614,-0.0862035,0.0862035
40100,978.696,-0.0116142,978.696,-0.198388,0.198388
41100,978.574,-0.0110959,978.574,-0.189511,0.189511
42100,978.632,-0.0117428,978.632,-0.200571,0.200571
43100,978.667,-0.00740805,978.667,-0.126537,0.126537
44100,978.675,-0.011162,978.675,-0.190659,0.190659
45100,978.544,-0.0110274,978.544,-0.188335,0.188335
46100,978.598,-0.0137419,978.598,-0.234708,0.234708
47100,978.725,-0.00939951,978.725,-0.160562,0.160562
48100,978.43,-0.0120095,978.43,-0.205084,0.205084
49100,978.673,-0.0133814,978.673,-0.228569,0.228569
50100,978.779,-0.0237462,978.779,-0.405654,0.405654
51100,978.557,-0.0124409,978.557,-0.212479,0.212479
52100,978.579,-0.0135902,978.579,-0.232113,0.232113
53100,978.63,-0.0154287,978.63,-0.263527,0.263527
54100,978.575,-0.0100172,978.575,-0.171087,0.171087
55100,978.594,-0.00911686,978.594,-0.155713,0.155713
56100,978.489,-0.0180327,978.489,-0.30796,0.30796
57100,978.725,-0.0112402,978.725,-0.192005,0.192005
58100,978.463,-0.0163665,978.463,-0.279497,0.279497
59100,978.6,-0.0237371,978.6,-0.405425,0.405425
60100,978.443,-0.02537,978.443,-0.433245,0.433245
61100,978.681,-0.01645,978.681,-0.280986,0.280986
62100,978.382,-0.007182,978.382,-0.12264,0.12264
63100,978.507,-0.00225229,978.507,-0.038465,0.038465
64100,978.469,-0.0204859,978.469,-0.349848,0.349848
65100,978.685,-0.0179764,978.685,-0.30706,0.30706
66100,978.388,-0.014958,978.388,-0.255424,0.255424
67100,978.469,-0.0154354,978.469,-0.263598,0.263598
68100,978.436,-0.0168144,978.436,-0.287138,0.287138
69100,978.526,-0.0200955,978.526,-0.343201,0.343201
70100,978.572,-0.0192497,978.572,-0.328771,0.328771
71100,978.46,-0.0214308,978.46,-0.365981,0.365981
72100,978.542,-0.0177736,978.542,-0.303551,0.303551
73100,978.337,-0.0330851,978.337,-0.564935,0.564935
74100,978.563,-0.0177364,978.563,-0.302923,0.302923
75100,978.413,-0.0148021,978.413,-0.252768,0.252768
76100,978.578,-0.0202934,978.578,-0.346599,0.346599
77100,978.555,-0.0195727,978.555,-0.334282,0.334282
78100,978.51,-0.017202,978.51,-0.29378,0.29378
79100,978.475,-0.0171343,978.475,-0.292613,0.292613
80100,978.51,-0.022481,978.51,-0.383935,0.383935
81100,978.538,-0.0252875,978.538,-0.431878,0.431878
82100,978.493,-0.0222861,978.493,-0.3806,0.3806
83100,978.415,-0.0220867,978.415,-0.377165,0.377165
84100,978.433,-0.0278892,978.433,-0.47626,0.47626
85100,978.49,-0.0248898,978.49,-0.425065,0.425065
86100,978.536,-0.0215026,978.536,-0.367236,0.367236
87100,978.576,-0.0328431,978.576,-0.56094,0.56094
88100,978.517,-0.022242,978.517,-0.379857,0.379857
89100,978.497,-0.0263727,978.497,-0.450393,0.450393
90100,978.408,-0.0225896,978.408,-0.38575,0.38575
91100,978.344,-0.0298156,978.344,-0.509111,0.509111
92100,978.386,-0.0321922,978.386,-0.549716,0.549716
93100,978.432,-0.0287114,978.432,-0.490301,0.490301
94100,978.351,-0.0280661,978.351,-0.479241,0.479241
95100,978.37,-0.0297972,978.37,-0.50881,0.50881
96100,978.46,-0.023065,978.46,-0.393889,0.393889
97100,978.418,-0.0271146,978.418,-0.463026,0.463026
98100,978.433,-0.0280147,978.433,-0.478404,0.478404
99100,978.412,-0.0337738,978.412,-0.576739,0.576739
